arc_length;U_1;U_1;U_1
0.0438;0.0625317;0.0955685;0.126594
0.0441;0.0626026;0.0956897;0.126797
0.0444;0.0626747;0.0958149;0.12701
0.0447;0.0627469;0.0959402;0.127222
0.045;0.0628191;0.0960654;0.127434
0.0453;0.0628931;0.0961967;0.12766
0.0456;0.062967;0.0963281;0.127885
0.0459;0.063041;0.0964595;0.128111
0.0462;0.0631161;0.096595;0.128345
0.0465;0.0631917;0.0967327;0.128585
0.0468;0.0632673;0.0968703;0.128824
0.0471;0.0633498;0.0970218;0.129089
0.0474;0.0634462;0.0972008;0.129404
0.0477;0.0635426;0.0973798;0.12972
0.048;0.0636389;0.0975588;0.130035
0.0483;0.0636981;0.0976744;0.130243
0.0486;0.0637573;0.0977901;0.13045
0.0489;0.0638164;0.0979057;0.130657
0.0492;0.0638892;0.0980491;0.130916
0.0495;0.0639687;0.0982063;0.1312
0.0498;0.0640482;0.0983635;0.131485
0.0501;0.0641281;0.0985229;0.131774
0.0504;0.0642085;0.0986868;0.132075
0.0507;0.0642889;0.0988508;0.132376
0.051;0.0643693;0.0990147;0.132677
0.0513;0.0644503;0.0991854;0.132994
0.0516;0.0645313;0.0993561;0.133312
0.0519;0.0646123;0.0995268;0.13363
0.0522;0.0646936;0.0997021;0.133959
0.0525;0.0647749;0.0998797;0.134295
0.0528;0.0648562;0.100057;0.134631
0.0531;0.0649375;0.100237;0.134972
0.0534;0.0650188;0.100422;0.135326
0.0537;0.0651001;0.100606;0.13568
0.054;0.0651813;0.10079;0.136034
0.0543;0.0652622;0.100981;0.136408
0.0546;0.065343;0.101173;0.136781
0.0549;0.0654239;0.101364;0.137154
0.0552;0.0655042;0.10156;0.137541
0.0555;0.0655842;0.101758;0.137935
0.0558;0.0656642;0.101956;0.138328
0.0561;0.0657437;0.102157;0.138729
0.0564;0.0658223;0.102361;0.139143
0.0567;0.065901;0.102566;0.139558
0.057;0.0659796;0.102771;0.139972
0.0573;0.0660564;0.102983;0.140409
0.0576;0.0661331;0.103195;0.140845
0.0579;0.0662099;0.103406;0.141281
0.0582;0.0662849;0.103622;0.141733
0.0585;0.0663592;0.10384;0.142192
0.0588;0.0664334;0.104058;0.142651
0.0591;0.0665066;0.104279;0.143118
0.0594;0.0665776;0.104503;0.1436
0.0597;0.0666486;0.104727;0.144083
0.06;0.0667196;0.104951;0.144565
0.0603;0.0667866;0.105182;0.145072
0.0606;0.0668536;0.105412;0.145579
0.0609;0.0669206;0.105642;0.146086
0.0612;0.0669844;0.105876;0.14661
0.0615;0.0670465;0.106111;0.147143
0.0618;0.0671086;0.106347;0.147675
0.0621;0.0671687;0.106584;0.148216
0.0624;0.0672249;0.106825;0.148775
0.0627;0.0672811;0.107066;0.149333
0.063;0.0673373;0.107306;0.149892
0.0633;0.0673864;0.107551;0.150478
0.0636;0.0674355;0.107796;0.151063
0.0639;0.0674846;0.108041;0.151649
0.0642;0.0675281;0.108288;0.152253
0.0645;0.0675689;0.108536;0.152866
0.0648;0.0676096;0.108785;0.153479
0.0651;0.0676471;0.109033;0.154102
0.0654;0.0676779;0.109284;0.154744
0.0657;0.0677087;0.109534;0.155385
0.066;0.0677396;0.109785;0.156027
0.0663;0.0677588;0.110036;0.156698
0.0666;0.067778;0.110288;0.157369
0.0669;0.0677972;0.110539;0.15804
0.0672;0.0678073;0.11079;0.15873
0.0675;0.0678129;0.11104;0.15943
0.0678;0.0678185;0.111291;0.16013
0.0681;0.0678188;0.111541;0.16084
0.0684;0.0678084;0.111788;0.161569
0.0687;0.0677981;0.112036;0.162299
0.069;0.0677877;0.112284;0.163029
0.0693;0.0677588;0.112526;0.163787
0.0696;0.0677298;0.112768;0.164546
0.0699;0.0677009;0.113011;0.165305
0.0702;0.0676574;0.113247;0.166083
0.0705;0.0676067;0.113481;0.16687
0.0708;0.067556;0.113714;0.167657
0.0711;0.0674969;0.113943;0.168453
0.0714;0.0674208;0.114164;0.169267
0.0717;0.0673448;0.114385;0.170081
0.072;0.0672687;0.114606;0.170895
0.0723;0.0671628;0.114808;0.171733
0.0726;0.0670568;0.115011;0.172571
0.0729;0.0669509;0.115214;0.173409
0.0732;0.0668486;0.115376;0.174124
0.0735;0.0667482;0.115519;0.174778
0.0738;0.0666478;0.115661;0.175431
0.0741;0.0665063;0.115816;0.176226
0.0744;0.0662827;0.115998;0.177305
0.0747;0.066059;0.116179;0.178384
0.075;0.0658353;0.11636;0.179463
0.0753;0.0656315;0.116459;0.180263
0.0756;0.0654276;0.116558;0.181063
0.0759;0.0652237;0.116657;0.181863
0.0762;0.0649449;0.116751;0.18285
0.0765;0.0646287;0.116844;0.18393
0.0768;0.0643272;0.116882;0.18482
0.0771;0.0640276;0.116909;0.185675
0.0774;0.0636792;0.116895;0.186542
0.0777;0.0633224;0.11687;0.187403
0.078;0.0629402;0.116811;0.188245
0.0783;0.0625355;0.116726;0.189076
0.0786;0.0621106;0.116618;0.189898
0.0789;0.061648;0.116462;0.190695
0.0792;0.061169;0.116285;0.19148
0.0795;0.0606522;0.116059;0.192236
0.0798;0.0601054;0.115791;0.192964
0.0801;0.0595367;0.115493;0.193672
0.0804;0.058917;0.115123;0.194326
0.0807;0.058269;0.114709;0.194946
0.081;0.0575924;0.114253;0.195531
0.0813;0.0568584;0.113707;0.196039
0.0816;0.0560895;0.113103;0.196493
0.0819;0.0552845;0.11244;0.196892
0.0822;0.0544246;0.111683;0.197198
0.0825;0.0535134;0.110835;0.197409
0.0828;0.0525575;0.109904;0.197532
0.0831;0.0515537;0.108884;0.197555
0.0834;0.0504838;0.107734;0.19743
0.0837;0.0493536;0.106461;0.197155
0.084;0.0481664;0.105067;0.19673
0.0843;0.0469187;0.103541;0.196134
0.0846;0.0456071;0.10187;0.195343
0.0849;0.0442238;0.10003;0.194317
0.0852;0.0427625;0.0979958;0.193008
0.0855;0.0412297;0.0957751;0.191413
0.0858;0.0396228;0.0933524;0.189496
0.0861;0.0379397;0.0907111;0.187214
0.0864;0.0361784;0.087834;0.184519
0.0867;0.0343376;0.0847038;0.181358
0.087;0.0324163;0.081302;0.177669
0.0873;0.0304077;0.0775979;0.173367
0.0876;0.0283244;0.0735956;0.1684
0.0879;0.0258438;0.0686213;0.161805
0.0882;0.0236416;0.0640315;0.155355
